"area_name","n","公表日"
"石狩",27,2020-10-05
"石狩",6,2020-10-06
"石狩",30,2020-10-07
"石狩",16,2020-10-08
"石狩",18,2020-10-09
"石狩",19,2020-10-10
"石狩",26,2020-10-11
"石狩",9,2020-10-12
"石狩",5,2020-10-13
"石狩",10,2020-10-14
"石狩",10,2020-10-15
"石狩",10,2020-10-16
"石狩",18,2020-10-17
"石狩",16,2020-10-18
"石狩",11,2020-10-19
"石狩",15,2020-10-20
"石狩",15,2020-10-21
"石狩",30,2020-10-22
"石狩",32,2020-10-23
"石狩",35,2020-10-24
"石狩",27,2020-10-25
"石狩",36,2020-10-26
"石狩",19,2020-10-27
"石狩",37,2020-10-28
"石狩",43,2020-10-29
"石狩",39,2020-10-30
"石狩",62,2020-10-31
"石狩",52,2020-11-01
"石狩",76,2020-11-02
"石狩",46,2020-11-03
"石狩",51,2020-11-04
"石狩",89,2020-11-05
"石狩",90,2020-11-06
"石狩",144,2020-11-07
"石狩",108,2020-11-08
"石狩",161,2020-11-09
"石狩",130,2020-11-10
"石狩",149,2020-11-11
"石狩",169,2020-11-12
"石狩",169,2020-11-13
"石狩",162,2020-11-14
"石狩",156,2020-11-15
"石狩",138,2020-11-16
"石狩",155,2020-11-17
"石狩",179,2020-11-18
"石狩",202,2020-11-19
"石狩",213,2020-11-20
"石狩",171,2020-11-21
"石狩",171,2020-11-22
"石狩",137,2020-11-23
"石狩",181,2020-11-24
"石狩",100,2020-11-25
"石狩",160,2020-11-26
"石狩",149,2020-11-27
"石狩",173,2020-11-28
"石狩",127,2020-11-29
"石狩",103,2020-11-30
"石狩",142,2020-12-01
"石狩",73,2020-12-02
"石狩",143,2020-12-03
"石狩",119,2020-12-04
"石狩",122,2020-12-05
"石狩",132,2020-12-06
"石狩",92,2020-12-07
"石狩",107,2020-12-08
"石狩",109,2020-12-09
"石狩",146,2020-12-10
"石狩",112,2020-12-11
"石狩",79,2020-12-12
"石狩",94,2020-12-13
"石狩",87,2020-12-14
"石狩",67,2020-12-15
"石狩",43,2020-12-16
"石狩",78,2020-12-17
"石狩",74,2020-12-18
"石狩",76,2020-12-19
"石狩",59,2020-12-20
"石狩",65,2020-12-21
"石狩",47,2020-12-22
"石狩",71,2020-12-23
"石狩",75,2020-12-24
"石狩",51,2020-12-25
"石狩",68,2020-12-26
"石狩",50,2020-12-27
"石狩",64,2020-12-28
"石狩",40,2020-12-29
"石狩",64,2020-12-30
"石狩",98,2020-12-31
"石狩",59,2021-01-01
"石狩",50,2021-01-02
"石狩",26,2021-01-03
"石狩",60,2021-01-04
"石狩",43,2021-01-05
"石狩",73,2021-01-06
"石狩",98,2021-01-07
"石狩",93,2021-01-08
"石狩",123,2021-01-09
"石狩",90,2021-01-10
"石狩",91,2021-01-11
"石狩",79,2021-01-12
"石狩",63,2021-01-13
"石狩",97,2021-01-14
"石狩",122,2021-01-15
"石狩",94,2021-01-16
"石狩",55,2021-01-17
"石狩",84,2021-01-18
"石狩",46,2021-01-19
"石狩",100,2021-01-20
"石狩",76,2021-01-21
"石狩",52,2021-01-22
"石狩",73,2021-01-23
"石狩",44,2021-01-24
"石狩",40,2021-01-25
"石狩",45,2021-01-26
"石狩",68,2021-01-27
"石狩",51,2021-01-28
"石狩",73,2021-01-29
"石狩",78,2021-01-30
"石狩",72,2021-01-31
"石狩",49,2021-02-01
"石狩",70,2021-02-02
"石狩",56,2021-02-03
"石狩",90,2021-02-04
"石狩",76,2021-02-05
"石狩",50,2021-02-06
"石狩",48,2021-02-07
"石狩",39,2021-02-08
"石狩",23,2021-02-09
"石狩",46,2021-02-10
"石狩",79,2021-02-11
"石狩",55,2021-02-12
"石狩",22,2021-02-13
"石狩",35,2021-02-14
"石狩",26,2021-02-15
"石狩",22,2021-02-16
"石狩",39,2021-02-17
"石狩",21,2021-02-18
"石狩",30,2021-02-19
"石狩",22,2021-02-20
"石狩",27,2021-02-21
"石狩",13,2021-02-22
"石狩",33,2021-02-23
"石狩",31,2021-02-24
"石狩",18,2021-02-25
"石狩",12,2021-02-26
"石狩",23,2021-02-27
"石狩",13,2021-02-28
"石狩",12,2021-03-01
"石狩",19,2021-03-02
"石狩",22,2021-03-03
"石狩",24,2021-03-04
"石狩",33,2021-03-05
"石狩",29,2021-03-06
"石狩",41,2021-03-07
"石狩",17,2021-03-08
"石狩",17,2021-03-09
"石狩",20,2021-03-10
"石狩",39,2021-03-11
"石狩",19,2021-03-12
"石狩",29,2021-03-13
"石狩",26,2021-03-14
"石狩",28,2021-03-15
"石狩",30,2021-03-16
"石狩",44,2021-03-17
"石狩",76,2021-03-18
"石狩",61,2021-03-19
"石狩",37,2021-03-20
"石狩",40,2021-03-21
"石狩",39,2021-03-22
"石狩",33,2021-03-23
"石狩",55,2021-03-24
"石狩",49,2021-03-25
"石狩",55,2021-03-26
"石狩",50,2021-03-27
"石狩",62,2021-03-28
"石狩",33,2021-03-29
"石狩",29,2021-03-30
"石狩",44,2021-03-31
"石狩",34,2021-04-01
"石狩",37,2021-04-02
"石狩",50,2021-04-03
"石狩",30,2021-04-04
"石狩",44,2021-04-05
"石狩",37,2021-04-06
"石狩",43,2021-04-07
"石狩",48,2021-04-08
"石狩",56,2021-04-09
"石狩",95,2021-04-10
"石狩",45,2021-04-11
"石狩",45,2021-04-12
"石狩",35,2021-04-13
"石狩",55,2021-04-14
"石狩",74,2021-04-15
"石狩",66,2021-04-16
"石狩",76,2021-04-17
"石狩",74,2021-04-18
"石狩",55,2021-04-19
"石狩",66,2021-04-20
"石狩",95,2021-04-21
"石狩",110,2021-04-22
"石狩",113,2021-04-23
"石狩",116,2021-04-24
"石狩",68,2021-04-25
"石狩",95,2021-04-26
"石狩",77,2021-04-27
"石狩",153,2021-04-28
"石狩",153,2021-04-29
"石狩",138,2021-04-30
"石狩",129,2021-05-01
"石狩",244,2021-05-02
"石狩",94,2021-05-03
"石狩",193,2021-05-04
"石狩",138,2021-05-05
"石狩",255,2021-05-06
"石狩",169,2021-05-07
"石狩",300,2021-05-08
"石狩",358,2021-05-09
"石狩",283,2021-05-10
"石狩",308,2021-05-11
"石狩",363,2021-05-12
"石狩",534,2021-05-13
"石狩",397,2021-05-14
"石狩",395,2021-05-15
"石狩",334,2021-05-16
"石狩",242,2021-05-17
"石狩",398,2021-05-18
"石狩",399,2021-05-19
"石狩",476,2021-05-20
"石狩",507,2021-05-21
"石狩",410,2021-05-22
"石狩",416,2021-05-23
"石狩",243,2021-05-24
"石狩",314,2021-05-25
"石狩",373,2021-05-26
"石狩",408,2021-05-27
"石狩",304,2021-05-28
"石狩",292,2021-05-29
"石狩",182,2021-05-30
"石狩",207,2021-05-31
"石狩",163,2021-06-01
"石狩",208,2021-06-02
"石狩",192,2021-06-03
"石狩",124,2021-06-04
"石狩",185,2021-06-05
"石狩",134,2021-06-06
"石狩",108,2021-06-07
"石狩",81,2021-06-08
"石狩",116,2021-06-09
"石狩",134,2021-06-10
"石狩",80,2021-06-11
"石狩",92,2021-06-12
"石狩",54,2021-06-13
"石狩",51,2021-06-14
"石狩",49,2021-06-15
"石狩",56,2021-06-16
"石狩",45,2021-06-17
"石狩",54,2021-06-18
"石狩",54,2021-06-19
"石狩",34,2021-06-20
"石狩",25,2021-06-21
"石狩",14,2021-06-22
"石狩",35,2021-06-23
"石狩",20,2021-06-24
"石狩",18,2021-06-25
"石狩",26,2021-06-26
"石狩",16,2021-06-27
"石狩",16,2021-06-28
"石狩",14,2021-06-29
"石狩",24,2021-06-30
"石狩",21,2021-07-01
"石狩",11,2021-07-02
"石狩",14,2021-07-03
"石狩",20,2021-07-04
"石狩",17,2021-07-05
"石狩",14,2021-07-06
"石狩",27,2021-07-07
"石狩",25,2021-07-08
"石狩",22,2021-07-09
"石狩",41,2021-07-10
"石狩",19,2021-07-11
"石狩",27,2021-07-12
